_id,FinancialYear,HBR,HBRQF,AgeGroup,Sex,Dataset,DatasetQF,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF
302,1997/98,S08000022, ,0-17 years,Female,Total,d,50, ,151.42, ,40, ,121.14, 
303,1997/98,S08000022, ,18-24 years,Male,Total,d,110, ,961.37, ,80, ,699.18, 
304,1997/98,S08000022, ,18-24 years,Female,Total,d,70, ,695.83, ,60, ,596.42, 
305,1997/98,S08000022, ,25-39 years,Male,Total,d,360, ,1126.27, ,250, ,782.13, 
306,1997/98,S08000022, ,25-39 years,Female,Total,d,290, ,905.66, ,200, ,624.59, 
307,1997/98,S08000022, ,40-64 years,Male,Total,d,620, ,1284.84, ,400, ,828.93, 
308,1997/98,S08000022, ,40-64 years,Female,Total,d,380, ,776.62, ,260, ,531.37, 
309,1997/98,S08000022, ,65plus years,Male,Total,d,410, ,2025.29, ,250, ,1234.93, 
310,1997/98,S08000022, ,65plus years,Female,Total,d,500, ,1707.88, ,330, ,1127.2, 
311,1997/98,S08000024, ,0-17 years,Male,Total,d,130, ,156.69, ,120, ,144.64, 
312,1997/98,S08000024, ,0-17 years,Female,Total,d,100, ,125.81, ,80, ,100.65, 
313,1997/98,S08000024, ,18-24 years,Male,Total,d,240, ,642.83, ,180, ,482.12, 
314,1997/98,S08000024, ,18-24 years,Female,Total,d,200, ,523.48, ,120, ,314.09, 
315,1997/98,S08000024, ,25-39 years,Male,Total,d,830, ,890.19, ,540, ,579.16, 
316,1997/98,S08000024, ,25-39 years,Female,Total,d,930, ,955.38, ,530, ,544.47, 
317,1997/98,S08000024, ,40-64 years,Male,Total,d,1040, ,955.85, ,640, ,588.21, 
318,1997/98,S08000024, ,40-64 years,Female,Total,d,840, ,735.33, ,530, ,463.96, 
319,1997/98,S08000024, ,65plus years,Male,Total,d,810, ,1818.96, ,500, ,1122.81, 
320,1997/98,S08000024, ,65plus years,Female,Total,d,1320, ,1923.13, ,880, ,1282.09, 
321,1997/98,S08000025, ,0-17 years,Male,Total,d,0, ,0, ,0, ,0, 
322,1997/98,S08000025, ,0-17 years,Female,Total,d,0, ,0, ,0, ,0, 
323,1997/98,S08000025, ,18-24 years,Male,Total,d,0, ,0, ,0, ,0, 
324,1997/98,S08000025, ,18-24 years,Female,Total,d,0, ,0, ,0, ,0, 
325,1997/98,S08000025, ,25-39 years,Male,Total,d,10, ,472.37, ,10, ,472.37, 
326,1997/98,S08000025, ,25-39 years,Female,Total,d,20, ,988.63, ,10, ,494.32, 
327,1997/98,S08000025, ,40-64 years,Male,Total,d,40, ,1220.26, ,20, ,610.13, 
328,1997/98,S08000025, ,40-64 years,Female,Total,d,20, ,621.5, ,10, ,310.75, 
329,1997/98,S08000025, ,65plus years,Male,Total,d,10, ,746.83, ,10, ,746.83, 
330,1997/98,S08000025, ,65plus years,Female,Total,d,10, ,544.66, ,10, ,544.66, 
331,1997/98,S08000026, ,0-17 years,Male,Total,d,10, ,335.12, ,10, ,335.12, 
332,1997/98,S08000026, ,0-17 years,Female,Total,d,0, ,0, ,0, ,0, 
333,1997/98,S08000026, ,18-24 years,Male,Total,d,10, ,1011.12, ,10, ,1011.12, 
334,1997/98,S08000026, ,18-24 years,Female,Total,d,0, ,0, ,0, ,0, 
335,1997/98,S08000026, ,25-39 years,Male,Total,d,30, ,1118.15, ,20, ,745.43, 
336,1997/98,S08000026, ,25-39 years,Female,Total,d,40, ,1598.72, ,20, ,799.36, 
337,1997/98,S08000026, ,40-64 years,Male,Total,d,30, ,811.25, ,20, ,540.83, 
338,1997/98,S08000026, ,40-64 years,Female,Total,d,20, ,602.05, ,10, ,301.02, 
339,1997/98,S08000026, ,65plus years,Male,Total,d,10, ,848.18, ,10, ,848.18, 
340,1997/98,S08000026, ,65plus years,Female,Total,d,20, ,1107.42, ,20, ,1107.42, 
341,1997/98,S08000028, ,0-17 years,Male,Total,d,0, ,0, ,0, ,0, 
342,1997/98,S08000028, ,0-17 years,Female,Total,d,10, ,314.56, ,10, ,314.56, 
343,1997/98,S08000028, ,18-24 years,Male,Total,d,10, ,853.24, ,10, ,853.24, 
344,1997/98,S08000028, ,18-24 years,Female,Total,d,10, ,1158.75, ,10, ,1158.75, 
345,1997/98,S08000028, ,25-39 years,Male,Total,d,30, ,1070.28, ,30, ,1070.28, 
346,1997/98,S08000028, ,25-39 years,Female,Total,d,10, ,376.51, ,10, ,376.51, 
347,1997/98,S08000028, ,40-64 years,Male,Total,d,90, ,1960.78, ,60, ,1307.19, 
348,1997/98,S08000028, ,40-64 years,Female,Total,d,50, ,1164.42, ,40, ,931.53, 
349,1997/98,S08000028, ,65plus years,Male,Total,d,40, ,1909.31, ,20, ,954.65, 
350,1997/98,S08000028, ,65plus years,Female,Total,d,90, ,2898.55, ,50, ,1610.31, 
351,1997/98,S08000029, ,0-17 years,Male,Total,d,60, ,148.42, ,50, ,123.68, 
352,1997/98,S08000029, ,0-17 years,Female,Total,d,40, ,102.44, ,40, ,102.44, 
353,1997/98,S08000029, ,18-24 years,Male,Total,d,130, ,875.72, ,90, ,606.26, 
354,1997/98,S08000029, ,18-24 years,Female,Total,d,100, ,689.75, ,70, ,482.83, 
355,1997/98,S08000029, ,25-39 years,Male,Total,d,370, ,991.37, ,240, ,643.05, 
356,1997/98,S08000029, ,25-39 years,Female,Total,d,270, ,689.9, ,170, ,434.38, 
357,1997/98,S08000029, ,40-64 years,Male,Total,d,300, ,580.62, ,210, ,406.43, 
358,1997/98,S08000029, ,40-64 years,Female,Total,d,330, ,609.31, ,200, ,369.28, 
359,1997/98,S08000029, ,65plus years,Male,Total,d,250, ,1131.63, ,170, ,769.51, 
360,1997/98,S08000029, ,65plus years,Female,Total,d,370, ,1109.68, ,290, ,869.75, 
361,1997/98,S08000030, ,0-17 years,Male,Total,d,70, ,158.17, ,60, ,135.58, 
362,1997/98,S08000030, ,0-17 years,Female,Total,d,90, ,212.76, ,70, ,165.48, 
363,1997/98,S08000030, ,18-24 years,Male,Total,d,190, ,1091.83, ,130, ,747.04, 
364,1997/98,S08000030, ,18-24 years,Female,Total,d,140, ,820.01, ,70, ,410, 
365,1997/98,S08000030, ,25-39 years,Male,Total,d,610, ,1477.89, ,370, ,896.43, 
366,1997/98,S08000030, ,25-39 years,Female,Total,d,460, ,1068.18, ,280, ,650.2, 
367,1997/98,S08000030, ,40-64 years,Male,Total,d,520, ,881.51, ,370, ,627.22, 
368,1997/98,S08000030, ,40-64 years,Female,Total,d,440, ,711.09, ,320, ,517.16, 
369,1997/98,S08000030, ,65plus years,Male,Total,d,320, ,1158.79, ,240, ,869.09, 
370,1997/98,S08000030, ,65plus years,Female,Total,d,690, ,1663.57, ,520, ,1253.71, 
371,1997/98,S08000031, ,0-17 years,Male,Total,d,140, ,106.49, ,120, ,91.28, 
372,1997/98,S08000031, ,0-17 years,Female,Total,d,150, ,118.88, ,130, ,103.03, 
373,1997/98,S08000031, ,18-24 years,Male,Total,d,460, ,924.92, ,320, ,643.42, 
374,1997/98,S08000031, ,18-24 years,Female,Total,d,340, ,637.62, ,220, ,412.58, 
375,1997/98,S08000031, ,25-39 years,Male,Total,d,1880, ,1419.32, ,1220, ,921.05, 
376,1997/98,S08000031, ,25-39 years,Female,Total,d,1160, ,814.87, ,760, ,533.88, 
377,1997/98,S08000031, ,40-64 years,Male,Total,d,2060, ,1281.18, ,1410, ,876.93, 
378,1997/98,S08000031, ,40-64 years,Female,Total,d,1350, ,789.94, ,910, ,532.48, 
379,1997/98,S08000031, ,65plus years,Male,Total,d,1290, ,1891.3, ,930, ,1363.5, 
380,1997/98,S08000031, ,65plus years,Female,Total,d,1950, ,1774.66, ,1400, ,1274.12, 
381,1997/98,S08000032, ,0-17 years,Male,Total,d,40, ,52.66, ,40, ,52.66, 
382,1997/98,S08000032, ,0-17 years,Female,Total,d,40, ,55.47, ,40, ,55.47, 
383,1997/98,S08000032, ,18-24 years,Male,Total,d,200, ,742.91, ,130, ,482.89, 
384,1997/98,S08000032, ,18-24 years,Female,Total,d,100, ,374.36, ,70, ,262.05, 
385,1997/98,S08000032, ,25-39 years,Male,Total,d,630, ,886.64, ,450, ,633.31, 
386,1997/98,S08000032, ,25-39 years,Female,Total,d,380, ,500.54, ,270, ,355.65, 
387,1997/98,S08000032, ,40-64 years,Male,Total,d,600, ,650.31, ,460, ,498.57, 
388,1997/98,S08000032, ,40-64 years,Female,Total,d,460, ,464.92, ,360, ,363.85, 
